controller,minute,zone_c,measurement_c,setpoint_c,outdoor_c,internal_load_w,command_pct,requested_command_pct,kp,ki,inference_us,fallback_active
Bayesian Auto-tune,121.0,25.355047276711016,25.498971440931008,23.8,35.0521248578319,1650.0,92.0,100.0,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,122.0,25.28986486574914,25.439565736596318,23.8,35.06895350431303,1650.0,97.0,100.0,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,123.0,25.222060835815373,25.396133038986726,23.8,35.0857617994603,1650.0,100.0,100.0,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,124.0,25.152141077823977,25.33897464235223,23.8,35.102549423267995,1650.0,100.0,100.0,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,125.0,25.080526811713597,25.28100210554987,23.8,35.11931605612397,1650.0,100.0,100.0,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,126.0,25.007258495922216,25.230549866285052,23.8,35.13606137881569,1650.0,100.0,99.78836473506233,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,127.0,24.933301597917676,25.15071095858028,23.8,35.15278507253636,1650.0,96.0,96.36975798109755,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,128.0,24.85728590258986,25.088362064922837,23.8,35.169486818890945,1650.0,94.0,93.84824117457218,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,129.0,24.77807668388664,25.02632943619144,23.8,35.18616629990228,1650.0,91.0,91.30430088964138,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,130.0,24.694735420173085,24.95594896407331,23.8,35.20282319801709,1650.0,88.0,88.2686471166954,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,131.0,24.607107465381187,24.873447455019825,23.8,35.219457196112046,1650.0,85.0,84.53152122826562,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,132.0,24.51599858660161,24.794764078287717,23.8,35.236067977499786,1650.0,81.0,80.94894392971068,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,133.0,24.422079785613825,24.725118396037537,23.8,35.252655225935,1650.0,78.0,77.80617550320727,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,134.0,24.32590976208879,24.662039372635416,23.8,35.26921862562037,1650.0,75.0,74.97505001776665,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,135.0,24.229194449239287,24.565730533331063,23.8,35.285757861212645,1650.0,70.0,70.30324281487279,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,136.0,24.132728617092248,24.45092061317633,23.8,35.30227261782863,1650.0,65.0,64.56778977926932,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,137.0,24.037481362511773,24.35580335823798,23.8,35.318762581051146,1650.0,60.0,59.8265943537245,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,138.0,23.9442553757706,24.25259790871528,23.8,35.335227436935085,1650.0,55.00000000000001,54.586762632732146,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,139.0,23.853714699877923,24.147849847764196,23.8,35.35166687201331,1650.0,50.0,49.197854591259436,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,140.0,23.766718067306666,24.027618766455976,23.8,35.36808057330268,1650.0,45.0,42.90348856941459,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,141.0,23.68366457599232,23.916420808912687,23.8,35.38446822830997,1650.0,40.0,37.0223211442735,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,142.0,23.60488202354492,23.835578945999902,23.8,35.40082952503787,1650.0,35.0,32.715533061780626,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,143.0,23.53125922315038,23.738917797137823,23.8,35.41716415199086,1650.0,30.0,27.500234255359373,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,144.0,23.46352913256621,23.665187317089465,23.8,35.4334717981812,1650.0,25.0,23.466169639734062,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,145.0,23.402294869374927,23.57850173530708,23.8,35.4497521531348,1650.0,25.0,18.683310980264906,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,146.0,23.348051390160165,23.516122914525194,23.8,35.46600490689719,1650.0,25.0,15.162583828565637,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,147.0,23.3012035562862,23.468919974252294,23.8,35.482229750039345,1650.0,0.0,12.424627029092939,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,148.0,23.26208118851458,23.38627443283281,23.8,35.49842637366365,1650.0,0.0,7.736155705635072,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,149.0,23.230951612319423,23.366586163406318,23.8,35.51459446940973,1650.0,0.0,6.406773165031201,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,150.0,23.208030112119282,23.32595170008412,23.8,35.53073372946036,1650.0,0.0,3.9298658298243083,0.5355348409080782,0.006345139307458152,0.0,0
Bayesian Auto-tune,151.0,23.19348864294048,23.288281643198918,23.8,35.54684384654728,1650.0,0.0,1.5878106117142243,0.5355348409080782,0.006345139307458152,0.0,0
