algorithm,ordinal,repeat_seed,scenario_index,objective,rmse_c,max_undershoot_c,failed_checks,load_ratio,window_left_h,cause
zn,40,307,8,128.66503740119109,2.085983105571787,3.6869835071363575,comfort_held+recovery_ok,0.1,1.0,tuning
imc,40,307,8,95.45935378715927,1.5815238169049344,2.872777758564766,comfort_held+recovery_ok,0.1,1.0,tuning
bo,40,307,8,115.53990639929954,1.8590334716636092,3.2337912974170067,comfort_held+recovery_ok,0.1,1.0,tuning
safe-bo,40,307,8,95.45935378715927,1.5815238169049344,2.872777758564766,comfort_held+recovery_ok,0.1,1.0,tuning
fnn,40,307,8,95.45935378715927,1.5815238169049344,2.872777758564766,comfort_held+recovery_ok,0.1,1.0,tuning
rl,40,307,8,87.46727879652369,1.4507572014334953,2.9709485566464373,comfort_held+recovery_ok,0.1,1.0,tuning
llm,40,307,8,95.45935378715927,1.5815238169049344,2.872777758564766,comfort_held+recovery_ok,0.1,1.0,tuning
zn,41,307,9,33.0166113976688,0.6718765167585027,1.1918965694715808,comfort_held+recovery_ok,0.266,1.0,tuning
zn,42,307,10,110.58864614641304,1.744087238152902,3.7675946143822685,comfort_held+recovery_ok,0.187,1.0,tuning
imc,42,307,10,98.30111485332078,1.5724544875094846,3.7675946143822685,comfort_held+recovery_ok,0.187,1.0,tuning
bo,42,307,10,104.57296413299743,1.6508805401488449,3.7675946143822685,comfort_held+recovery_ok,0.187,1.0,tuning
safe-bo,42,307,10,98.30111485332078,1.5724544875094846,3.7675946143822685,comfort_held+recovery_ok,0.187,1.0,tuning
fnn,42,307,10,98.30111485332078,1.5724544875094846,3.7675946143822685,comfort_held+recovery_ok,0.187,1.0,tuning
rl,42,307,10,97.03177355555675,1.5580885745662083,3.7675946143822685,comfort_held+recovery_ok,0.187,1.0,tuning
llm,42,307,10,98.30111485332078,1.5724544875094846,3.7675946143822685,comfort_held+recovery_ok,0.187,1.0,tuning
zn,43,307,11,40.599256656318346,0.7894188257747816,1.5017993179266895,comfort_held+recovery_ok,0.331,0.53,window
imc,43,307,11,18.974706816895008,0.4984518391361754,0.7459747100834093,recovery_ok,0.331,0.53,window
bo,43,307,11,15.557877953924894,0.4171020290057483,0.8574619743860055,recovery_ok,0.331,0.53,window
safe-bo,43,307,11,18.974706816895008,0.4984518391361754,0.7459747100834093,recovery_ok,0.331,0.53,window
