fit_scenario,minute,error_c,error_rate_c_per_min,nearest_error_rule,nearest_delta_rule,label_kp,label_ki
2.0,95.0,0.11849591231270296,-0.13614773587989362,2.0,1.0,0.458551190657499,1.1612022034638792e-05
2.0,100.0,-0.5685250550352272,-0.13740419346958604,1.0,1.0,0.458551190657499,1.1612022034638792e-05
2.0,105.0,-0.8860997465495934,-0.06351493830287325,1.0,1.0,0.458551190657499,1.1612022034638792e-05
2.0,110.0,-0.8458183349362649,0.008056282322665708,1.0,2.0,0.458551190657499,1.1612022034638792e-05
2.0,115.0,-0.5584962914533342,0.05746440869658613,1.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,120.0,-0.13454357840682363,0.08479054260930212,2.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,125.0,0.29841915376350414,0.08659254643406555,2.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,130.0,0.7715461342166385,0.09462539609062688,3.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,135.0,1.1820975220565408,0.08211027756798046,3.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,140.0,1.4083593265986103,0.04525236090841389,3.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,145.0,1.3211324832215574,-0.017445368675410577,3.0,2.0,0.458551190657499,1.1612022034638792e-05
2.0,150.0,0.9664169038179047,-0.07094311588073055,3.0,1.0,0.458551190657499,1.1612022034638792e-05
2.0,155.0,0.3283293317078382,-0.1276175144220133,2.0,1.0,0.458551190657499,1.1612022034638792e-05
2.0,160.0,-0.2819192015052714,-0.12204970664262191,2.0,1.0,0.458551190657499,1.1612022034638792e-05
2.0,165.0,-0.7674909834430146,-0.09711435638754864,1.0,1.0,0.458551190657499,1.1612022034638792e-05
2.0,170.0,-0.8613688224895917,-0.01877556780931542,1.0,2.0,0.458551190657499,1.1612022034638792e-05
2.0,175.0,-0.6231447012843958,0.04764482424103918,1.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,180.0,-0.25722892173022416,0.07318315591083432,2.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,185.0,0.17784691016954923,0.08701516637995468,2.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,190.0,0.5905272241534156,0.08253606279677328,2.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,195.0,1.0309874722808843,0.08809204962549373,3.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,200.0,1.3299650036700683,0.05979550627783681,3.0,3.0,0.458551190657499,1.1612022034638792e-05
2.0,205.0,1.3702940349734227,0.008065806260670882,3.0,2.0,0.458551190657499,1.1612022034638792e-05
2.0,210.0,1.1169903676345037,-0.05066073346778381,3.0,1.0,0.458551190657499,1.1612022034638792e-05
2.0,215.0,0.8989390193210767,-0.0436102696626854,3.0,1.0,0.458551190657499,1.1612022034638792e-05
2.0,220.0,0.7765132108364838,-0.024485161696918566,3.0,2.0,0.458551190657499,1.1612022034638792e-05
